date,conductivity
24/08/2020 15:16,404.37
24/08/2020 15:16,404.06
24/08/2020 15:16,409.92
24/08/2020 15:16,406.09
24/08/2020 15:16,409
24/08/2020 15:17,409.78
24/08/2020 15:17,403.2
24/08/2020 15:17,409.31
24/08/2020 15:17,411.47
24/08/2020 15:17,409.74
24/08/2020 15:17,413.1
24/08/2020 15:18,408.6
24/08/2020 15:18,411.18
24/08/2020 15:18,409.02
24/08/2020 15:18,409.4
24/08/2020 15:18,410.94
24/08/2020 15:18,415.94
24/08/2020 15:19,412.41
24/08/2020 15:19,410.72
24/08/2020 15:19,415.08
24/08/2020 15:19,409.95
24/08/2020 15:19,415.65
24/08/2020 15:19,408.32
24/08/2020 15:20,410.23
24/08/2020 15:20,407.84
24/08/2020 15:20,419.86
24/08/2020 15:20,412.67
24/08/2020 15:20,415.43
24/08/2020 15:20,411.32
24/08/2020 15:21,413.52
24/08/2020 15:21,413.52
24/08/2020 15:21,415.18
24/08/2020 15:21,418.4
24/08/2020 15:21,420.96
24/08/2020 15:21,418.19
24/08/2020 15:22,413.78
24/08/2020 15:22,427.2
24/08/2020 15:22,417.69
24/08/2020 15:22,412.92
24/08/2020 15:22,418.16
24/08/2020 15:22,420.2
24/08/2020 15:23,421.26
24/08/2020 15:23,414.09
24/08/2020 15:23,413.79
24/08/2020 15:23,422.67
24/08/2020 15:23,415.13
24/08/2020 15:23,418.09
24/08/2020 15:24,416.09
24/08/2020 15:24,421.41
24/08/2020 15:24,415.48
24/08/2020 15:24,408.89
24/08/2020 15:24,422.85
24/08/2020 15:24,416.46
24/08/2020 15:25,426.25
24/08/2020 15:25,410.76
24/08/2020 15:25,422.05
24/08/2020 15:25,418.96
24/08/2020 15:25,416.4
24/08/2020 15:25,420.49
24/08/2020 15:26,420.97
24/08/2020 15:26,416.83
24/08/2020 15:26,420.91
24/08/2020 15:26,416.21
24/08/2020 15:26,420.19
24/08/2020 15:26,420.97
24/08/2020 15:27,418.71
24/08/2020 15:27,417.37
24/08/2020 15:27,424.49
24/08/2020 15:27,427.13
24/08/2020 15:27,425.84
24/08/2020 15:27,421.66
24/08/2020 15:28,406.9
24/08/2020 15:28,421.3
24/08/2020 15:28,417.04
24/08/2020 15:28,408.57
24/08/2020 15:28,420.43
24/08/2020 15:28,418.53
24/08/2020 15:29,417.46
24/08/2020 15:29,415.19
24/08/2020 15:29,419.22
24/08/2020 15:29,415.42
24/08/2020 15:29,413.86
24/08/2020 15:29,413.68
24/08/2020 15:30,414.81
24/08/2020 15:30,416.79
24/08/2020 15:30,415.54
24/08/2020 15:30,418.11
24/08/2020 15:30,421.22
24/08/2020 15:30,417.4
24/08/2020 15:31,415.02
24/08/2020 15:31,415.5
24/08/2020 15:31,414.13
24/08/2020 15:31,412.22
24/08/2020 15:31,416.11
24/08/2020 15:31,418.2
24/08/2020 15:32,417.57
24/08/2020 15:32,416.55
24/08/2020 15:32,412.86
24/08/2020 15:32,416.8
24/08/2020 15:32,417.45
24/08/2020 15:32,414.62
24/08/2020 15:33,414.82
24/08/2020 15:33,419.44
24/08/2020 15:33,417.05
24/08/2020 15:33,411.93
24/08/2020 15:33,414.31
24/08/2020 15:33,424.86
24/08/2020 15:34,422.77
24/08/2020 15:34,407.59
24/08/2020 15:34,89.83
24/08/2020 15:34,10.15
24/08/2020 15:34,19.28
24/08/2020 15:34,9.27
24/08/2020 15:35,47.93
24/08/2020 15:35,25.66
24/08/2020 15:35,58.77
24/08/2020 15:35,13.52
24/08/2020 15:35,699.9
24/08/2020 15:35,14.78
24/08/2020 15:36,17.95
