Time (min),C (md.ft),Inj. P (psi)
265.01,96.22,21.4
266.01,95.55,21.4
267.01,94.61,21.4
268.01,96.59,21.4
269.01,96.34,21.4
270.01,95.12,21.4
271.01,95.25,21.4
272.01,96.46,21.2
273.01,94.64,21.4
274.01,94.97,21.4
275.01,95.09,21.2
276.01,95.77,21.4
277.01,94.23,21.4
278.01,94.26,21.4
279.01,95.45,21.4
280.01,95.07,21.4
281.01,97.9,21.4
282.01,96.75,21.4
283.01,96.41,21.4
284.01,93.97,21.4
285.01,96.46,21.4
286.01,95.61,21.4
287.01,95.07,21.6
288.01,96.45,21.4
289.01,95.44,21.4
290.01,94.7,21.4
291.01,94.68,21.4
292.01,95.78,21.4
293.01,94.03,21.4
294.01,98.24,21.4
295.01,96.46,21.4
296.01,96.79,21.4
297.01,95.88,21.4
298.01,94.83,21.4
299.01,96.8,21.4
300.01,96.8,21.4
301.01,96.66,21.4
302.01,97.19,21.4
303.01,97.19,21.4
304.01,96.11,21.4
305.01,95.77,21.4
306.01,94.64,21.4
307.01,96.03,21.4
308.01,96.82,21.4
309.01,95.76,21.4
310.01,95.53,21.4
311.01,95.23,21.4
312.01,96.22,21.4
313.01,95.41,21.4
314.01,94.98,21.4
315.01,96.25,21.4
316.01,97.26,21.4
317.01,96.56,21.4
318.01,95.52,21.2
319.01,95.74,21.4
320.01,94.33,21.4
321.01,95.83,21.4
322.01,95.53,21.4
323.01,96.67,21.4
324.01,94.68,21.4
325.01,94.09,21.4
326.01,93.45,21.6
327.01,94.67,21.4
328.01,94.52,21.4
329.01,95.87,21.2
330.01,95.67,21.4
331.01,94.68,21.2
332.01,95.2,21.4
333.01,93.64,21.4
334.01,92.65,21.4
335.01,92.99,21.4
336.01,95.76,21.4
337.01,96.16,21.2
338.01,97.43,21.2
339.01,96.72,21.2
340.01,98.15,21.2
341.01,96.21,21.2
342.01,95.14,21.2
343.01,95.99,21.2
344.01,96.21,21.2
345.01,93.38,21.4
346.01,96.66,21.2
347.01,95.02,21.2
348.01,94.37,21.2
349.01,95.52,21.2
350.01,95.74,21.2
351.01,95.5,21.2
352.01,96.53,21.2
353.01,94.35,21.4
354.01,95.29,21.2
355.01,96.63,21.2
