Time (min),C (md.ft),Inj. P (psi)
1186.01,95.36,20.4
1187.01,94.48,20.4
1188.01,96.78,20.4
1189.01,96.52,20.4
1190.01,94.92,20.4
1191.01,94.75,20.4
1192.01,95.28,20.4
1193.01,95.62,20.4
1194.01,95.89,20.4
1195.01,94.91,20.4
1196.01,94.4,20.4
1197.01,93.78,20.4
1198.01,94.94,20.4
1199.01,95.48,20.2
1200.01,95.01,20.4
1201.01,95.52,20.4
1202.01,96.93,20.4
1203.01,94.02,20.2
1204.01,95.43,20.4
1205.01,94.41,20.4
1206.01,96.6,20.2
1207.01,95.44,20.4
1208.01,95.8,20.4
1209.01,95.62,20.4
1210.01,93.39,20.4
1211.01,94.04,20.4
1212.01,93.93,20.4
1213.01,94.88,20.2
1214.01,93.5,20.4
1215.01,93.73,20.4
1216.01,96.73,20.4
1217.01,93.59,20.4
1218.01,93.8,20.4
1219.01,95.98,20.4
1220.01,95.37,20.4
1221.01,94.57,20.4
1222.01,94.27,20.4
1223.01,93.55,20.4
1224.01,93.09,20.4
1225.01,93.76,20.2
1226.01,93.99,20.4
1227.01,94.44,20.4
1228.01,92.5,20.4
1229.01,93.27,20.4
1230.01,92.87,20.4
1231.01,92.93,20.4
1232.01,94.3,20.2
1233.01,93.09,20.4
1234.01,93.2,20.4
1235.01,92.95,20.4
1236.01,93.67,20.4
1237.01,94.3,20.2
1238.01,94.36,20.4
1239.01,93.24,20.2
1240.01,93.78,20.4
1241.01,93.48,20.4
1242.01,94.82,20.4
1243.01,92.41,20.4
1244.01,94.65,20.2
1245.01,93.79,20.4
1246.01,94.03,20.4
1247.01,94.16,20.4
1248.01,93.21,20.4
1249.01,92.49,20.4
1250.01,92.31,20.4
1251.01,94.96,20.4
1252.01,94.05,20.4
1253.01,93.85,20.4
1254.01,94.55,20.4
1255.01,94.6,20.4
1256.01,94.84,20.4
1257.01,93.68,20.4
1258.01,93.32,20.4
1259.01,94.34,20.2
1260.01,94.38,20.4
1261.01,95.26,20.4
1262.01,93.91,20.4
1263.01,93.69,20.2
1264.01,93.79,20.4
1265.01,95.68,20.4
1266.01,94.75,20.4
1267.01,94.46,20.4
1268.01,92.99,20.4
1269.01,92.41,20.4
1270.01,93.92,20.4
1271.01,94.44,20.4
1272.01,94.03,20.4
1273.01,93.98,20.4
1274.01,93.07,20.2
1275.01,92.18,20.4
1276.01,95.83,20.4
1277.01,95.13,20.4
1278.01,94.65,20.4
1279.01,95.26,20.4
1280.01,94.76,20.2
1281.01,96.02,20.2
1282.01,93.07,20.4
1283.01,95.2,20.2
1284.01,93.62,20.4
1285.01,94.04,20.4
1286.01,94,20.4
1287.01,95.04,20.4
1288.01,93.65,20.4
1289.01,94.94,20.4
1290.01,91.88,20.2
1291.01,92.54,20.2
1292.01,93.66,20.2
1293.01,93.55,20.4
1294.01,93.87,20.4
1295.01,92.97,20.4
1296.01,92.38,20.4
1297.01,92.96,20.2
1298.01,92.3,20.4
1299.01,92.47,20.2
1300.01,93.86,20.4
1301.01,92.8,20.2
1302.01,92.89,20.4
1303.01,92,20.4
1304.01,92.93,20.4
1305.01,93.24,20.2
1306.01,91.65,20.4
1307.01,92.64,20.4
1308.01,91.48,20.2
1309.01,92.64,20.2
1310.01,92.91,20.2
1311.01,92.88,20.4
1312.01,93.65,20.2
1313.01,92.9,20.4
1314.01,92.41,20.4
1315.01,93,20.4
1316.01,93.16,20.4
1317.01,92.23,20.4
1318.01,92.99,20.2
1319.01,90.94,20.2
1320.01,91.63,20.4
1321.01,92.21,20.2
1322.01,91.65,20.2
1323.01,93.18,20.2
1324.01,92.14,20.2
1325.01,92.51,20.2
1326.01,91.82,20.4
1327.01,89.88,20.4
1328.01,91.91,20.4
1329.01,92.27,20.4
1330.01,91.49,20.4
1331.01,91.06,20.4
1332.01,91.78,20.4
1333.01,91.18,20.4
1334.01,93.06,20.4
1335.01,92.66,20.4
1336.01,93.81,20.4
1337.01,92.68,20.2
1338.01,95.68,20.4
1339.01,93.75,20.2
1340.01,94.22,20.4
1341.01,94.7,20.4
1342.01,94.62,20.2
1343.01,93.11,20.2
1344.01,93.57,20.4
1345.01,94.94,20.2
1346.01,94.05,20.4
1347.01,93.16,20.4
1348.01,92.76,20.2
1349.01,93.51,20.4
1350.01,93.14,20.4
1351.01,93.64,20.2
1352.01,95.68,20.4
1353.01,93.33,20.4
1354.01,93.79,20.2
1355.01,93.12,20.4
1356.01,93.75,20.2
1357.01,95.34,20.2
1358.01,95.24,20.4
1359.01,94.33,20.4
1360.01,94.38,20.2
1361.01,94.67,20.2
1362.01,93.81,20.2
1363.01,93.02,20.2
1364.01,95.03,20.4
1365.01,95.24,20.2
1366.01,94.65,20.4
1367.01,93.97,20.2
1368.01,94.32,20.2
1369.01,94.75,20.2
1370.01,93.77,20.2
1371.01,94.43,20.4
1372.01,93.58,20.2
1373.01,94.16,20.4
1374.01,94.84,20.2
1375.01,96.58,20.2
1376.01,95.34,20.4
1377.01,94.7,20.2
1378.01,94.14,20.4
1379.01,95.13,20.2
1380.01,93.88,20.2
1381.01,94.82,20.4
1382.01,95.38,20.2
1383.01,96.82,20.2
1384.01,92.21,20.2
1385.01,94.91,20.2
1386.01,93.8,20.2
1387.01,94.7,20.4
1388.01,95.18,20.2
1389.01,95.72,20.4
1390.01,93.8,20.2
1391.01,93.86,20.2
1392.01,95.71,20.2
1393.01,93.23,20.2
1394.01,93.07,20.2
1395.01,94.11,20.2
1396.01,93.84,20.2
1397.01,94.55,20.2
1398.01,95.55,20.2
1399.01,93.96,20.2
1400.01,94.36,20.4
1401.01,95.7,20.2
1402.01,95.69,20.2
1403.01,94.16,20.2
1404.01,96.34,20.4
1405.01,93.5,20.2
1406.01,94.45,20.4
1407.01,96.64,20.4
1408.01,92.92,20.4
1409.01,96.23,20.2
1410.01,91.86,20.4
1411.01,94.3,20.4
1412.01,94.89,20.2
1413.01,94.42,20.2
1414.01,94.08,20.4
1415.01,92.89,20.2
1416.01,92.9,20.2
1417.01,94.45,20.2
1418.01,95.21,20.2
1419.01,95.75,20.2
1420.01,93.53,20.4
1421.01,95.28,20.2
1422.01,93.94,20.2
1423.01,93.33,20.2
1424.01,97.01,20.4
1425.01,93.89,20.2
1426.01,94.35,20.4
1427.01,94.98,20.2
1428.01,94.7,20.4
1429.01,92.68,20.4
1430.01,93.76,20.2
1431.01,93.28,20.4
1432.01,93.66,20.2
1433.01,94.56,20.4
1434.01,94.82,20.2
1435.01,95.61,20.2
1436.01,93.6,20.4
1437.01,95.22,20.2
1438.01,94.14,20.4
1439.01,92.99,20.4
1440.01,95.44,20.4
1441.01,94.72,20.2
1442.01,94,20.4
1443.01,92.88,20.4
1444.01,96.15,20.4
1445.01,93.28,20.4
1446.01,93.87,20.4
1447.01,94.77,20.4
1448.01,93.39,20.4
1449.01,93.1,20.4
1450.01,91.55,20.4
1451.01,92.73,20.2
1452.01,92.55,20.4
1453.01,91.45,20.2
1454.01,92.36,20.4
1455.01,92.67,20.4
1456.01,92.25,20.4
1457.01,92.05,20.4
1458.01,90.72,20.4
1459.01,92.62,20.4
1460.01,92.83,20.2
1461.01,91.34,20.4
1462.01,92.67,20.4
1463.01,93.61,20.2
1464.01,92.66,20.4
1465.01,90.13,20.2
1466.01,93.45,20.4
1467.01,92.97,20.2
1468.01,92.62,20.4
1469.01,92.04,20.2
1470.01,92.38,20.4
1471.01,91.26,20.2
1472.01,92.32,20.2
1473.01,91.73,20.2
1474.01,91.71,20.2
1475.01,92.51,20.2
1476.01,92.11,20.4
1477.01,92.45,20.2
1478.01,93.63,20.2
1479.01,92.41,20.4
1480.01,90.71,20.2
1481.01,93.2,20.4
1482.01,92.29,20.4
1483.01,93.33,20.2
1484.01,93.21,20.4
1485.01,92.87,20.4
1486.01,92.81,20.4
1487.01,92.32,20.4
1488.01,93.19,20.4
1489.01,93,20.4
1490.01,94.93,20.4
1491.01,93.25,20.4
1492.01,92.4,20.4
1493.01,93.02,20.4
1494.01,91.68,20.4
1495.01,91.73,20.4
1496.01,92.74,20.4
1497.01,91.45,20.4
1498.01,91.16,20.4
1499.01,90.65,20.4
1500.01,93.11,20.4
1501.01,92.47,20.4
1502.01,93.2,20.4
1503.01,92.5,20.4
1504.01,92.4,20.4
1505.01,93.17,20.4
1506.01,91.12,20.4
1507.01,94.27,20.4
1508.01,94.86,20.4
1509.01,92.76,20.4
1510.01,93.77,20.4
1511.01,95.45,20.4
1512.01,93.65,20.4
1513.01,93.61,20.4
1514.01,93.98,20.4
1515.01,93.21,20.4
1516.01,92.67,20.4
1517.01,93.78,20.4
1518.01,92.46,20.4
1519.01,94.34,20.4
1520.01,85.36,20.8
1521.01,91.29,20.6
1522.01,95.24,20.6
1523.01,94.59,20.6
1524.01,94.41,20.6
1525.01,92.49,20.4
1526.01,93.98,20.6
1527.01,94.18,20.4
1528.01,95.08,20.6
1529.01,93.2,20.4
1530.01,92.29,20.6
1531.01,94.63,20.4
1532.01,92.87,20.6
1533.01,92.23,20.6
1534.01,93.28,20.6
1535.01,93.62,20.6
1536.01,94.56,20.4
1537.01,94.43,20.6
1538.01,93.5,20.6
1539.01,93.82,20.6
1540.01,93.07,20.6
1541.01,93.47,20.6
1542.01,93.14,20.4
1543.01,95.06,20.6
1544.01,93.92,20.6
1545.01,93.96,20.6
1546.01,93.01,20.6
1547.01,92.57,20.4
1548.01,92.71,20.6
1549.01,93.5,20.6
1550.01,93.02,20.6
1551.01,93.63,20.4
1552.01,93.34,20.6
1553.01,94.2,20.4
1554.01,94.33,20.6
1555.01,93.31,20.4
1556.01,94.7,20.4
1557.01,92.95,20.6
1558.01,93.62,20.6
1559.01,93.64,20.6
1560.01,94.28,20.4
1561.01,94.19,20.4
1562.01,93.83,20.6
1563.01,92.69,20.6
1564.01,93,20.6
1565.01,92.21,20.4
1566.01,94.6,20.6
1567.01,92.99,20.4
1568.01,93.4,20.4
1569.01,93.75,20.4
1570.01,93.43,20.4
1571.01,94.73,20.6
1572.01,93.96,20.6
1573.01,93.03,20.6
1574.01,92.7,20.4
1575.01,93.7,20.4
1576.01,93.35,20.6
1577.01,93.76,20.4
1578.01,93.06,20.6
1579.01,93.94,20.4
1580.01,93.98,20.6
1581.01,93.13,20.4
1582.01,93.36,20.4
1583.01,93.62,20.4
1584.01,93.04,20.4
1585.01,92.59,20.4
1586.01,93.98,20.4
1587.01,94.47,20.6
1588.01,94.7,20.6
1589.01,93.59,20.4
1590.01,93.58,20.6
1591.01,94.66,20.4
1592.01,95.04,20.4
1593.01,94.26,20.4
1594.01,95.06,20.6
1595.01,95.29,20.4
1596.01,94.1,20.4
1597.01,95.93,20.4
1598.01,94.13,20.4
1599.01,94.2,20.6
1600.01,93.88,20.4
1601.01,94.46,20.6
1602.01,93.09,20.6
1603.01,95.22,20.6
1604.01,93.23,20.4
1605.01,94.23,20.6
1606.01,93.93,20.4
1607.01,94.51,20.6
1608.01,93.76,20.4
1609.01,93.65,20.4
1610.01,94.62,20.4
1611.01,93.73,20.6
1612.01,92.47,20.4
1613.01,94.52,20.4
1614.01,94.08,20.4
1615.01,94.52,20.6
1616.01,96.98,20.4
1617.01,93.81,20.4
1618.01,93.97,20.4
1619.01,94.05,20.4
1620.01,94.44,20.6
1621.01,94.03,20.4
1622.01,94.6,20.4
1623.01,94.47,20.4
1624.01,94.3,20.6
1625.01,95.09,20.4
1626.01,93.72,20.4
1627.01,94.59,20.6
1628.01,93.52,20.4
1629.01,94.42,20.4
1630.01,94.27,20.4
1631.01,93.43,20.4
1632.01,96.1,20.6
1633.01,95.52,20.4
1634.01,94.59,20.4
1635.01,93.36,20.4
1636.01,95.32,20.4
1637.01,96.54,20.6
1638.01,94.39,20.6
1639.01,93.85,20.4
1640.01,95.19,20.4
1641.01,93.74,20.4
1642.01,95.31,20.6
1643.01,94.1,20.6
1644.01,93.73,20.6
1645.01,94.45,20.6
1646.01,95.08,20.6
1647.01,94.45,20.6
1648.01,95.24,20.4
1649.01,95.65,20.4
1650.01,93.84,20.4
1651.01,94.6,20.4
1652.01,95.76,20.4
1653.01,94.02,20.4
1654.01,94.46,20.4
1655.01,94.09,20.4
1656.01,95.97,20.6
1657.01,93.52,20.4
1658.01,95.2,20.4
1659.01,93.39,20.6
1660.01,93.56,20.4
1661.01,94.22,20.4
1662.01,95.11,20.4
1663.01,95.78,20.4
1664.01,94.12,20.6
1665.01,94.66,20.6
1666.01,94.2,20.6
1667.01,94.77,20.4
1668.01,94.5,20.4
1669.01,94.62,20.4
1670.01,93.81,20.4
1671.01,94.07,20.4
1672.01,95.63,20.4
1673.01,94.52,20.4
1674.01,95.48,20.6
1675.01,94.88,20.6
1676.01,93.93,20.4
1677.01,94.03,20.4
1678.01,94.02,20.4
1679.01,93.78,20.6
1680.01,94.68,20.6
1681.01,94.37,20.4
1682.01,93.57,20.4
1683.01,93.46,20.4
1684.01,93.7,20.6
1685.01,93.25,20.4
1686.01,94.83,20.4
1687.01,95.14,20.4
1688.01,94.89,20.4
1689.01,93.79,20.6
1690.01,94.36,20.4
1691.01,94.66,20.4
1692.01,94.38,20.4
1693.01,94.91,20.4
1694.01,93.88,20.4
1695.01,96.19,20.4
1696.01,93.62,20.4
1697.01,93.95,20.6
1698.01,94.36,20.4
1699.01,94.62,20.4
1700.01,94.28,20.4
1701.01,94.44,20.4
1702.01,94.73,20.4
1703.01,94.04,20.4
1704.01,95.55,20.4
1705.01,93.75,20.4
1706.01,93.5,20.4
1707.01,93.2,20.4
1708.01,93.39,20.6
1709.01,94.06,20.4
1710.01,95.61,20.4
1711.01,94.53,20.4
1712.01,94.5,20.4
1713.01,93.44,20.6
1714.01,94.77,20.4
1715.01,93.7,20.4
1716.01,93.28,20.4
1717.01,95.19,20.4
1718.01,94.24,20.4
1719.01,95.74,20.4
1720.01,94.17,20.4
1721.01,93.43,20.6
1722.01,94.06,20.6
1723.01,92.91,20.4
1724.01,94.21,20.4
1725.01,95.08,20.6
1726.01,94.96,20.4
1727.01,93.62,20.6
1728.01,93.74,20.4
1729.01,93.2,20.4
1730.01,94.07,20.4
1731.01,95.38,20.4
1732.01,94.82,20.4
1733.01,94.6,20.4
1734.01,94.41,20.4
1735.01,94.17,20.4
1736.01,94.58,20.4
1737.01,94.48,20.4
1738.01,94.31,20.4
1739.01,94.99,20.4
1740.01,93.82,20.4
1741.01,94.21,20.4
1742.01,94.12,20.4
1743.01,93.85,20.4
1744.01,94.11,20.4
1745.01,93.05,20.4
1746.01,94.49,20.4
1747.01,93.67,20.6
1748.01,95.15,20.4
1749.01,96.19,20.4
1750.01,94.64,20.6
1751.01,94.14,20.6
1752.01,93.75,20.4
1753.01,94.78,20.4
1754.01,92.49,20.4
1755.01,95.01,20.4
1756.01,94.65,20.6
1757.01,94.34,20.4
1758.01,93.44,20.4
1759.01,93.72,20.4
1760.01,93.71,20.4
1761.01,93.81,20.4
1762.01,94.22,20.4
1763.01,94.12,20.6
1764.01,94.86,20.4
1765.01,94.76,20.4
1766.01,95.29,20.4
1767.01,94.66,20.4
1768.01,95.08,20.6
1769.01,93.63,20.6
1770.01,94.51,20.4
1771.01,93.76,20.6
1772.01,95.16,20.4
1773.01,93.78,20.4
1774.01,93.39,20.4
1775.01,93.45,20.4
1776.01,96.02,20.4
1777.01,94.51,20.4
1778.01,93.12,20.6
1779.01,93.46,20.4
1780.01,95.51,20.4
1781.01,94,20.4
1782.01,96.72,20.4
1783.01,94.51,20.4
1784.01,93.39,20.4
1785.01,92.43,20.4
1786.01,94.43,20.4
1787.01,93.84,20.4
1788.01,94.84,20.4
1789.01,94.11,20.4
1790.01,92.7,20.4
1791.01,92.87,20.4
1792.01,94.61,20.4
1793.01,94.56,20.4
1794.01,95.19,20.4
1795.01,93.48,20.4
1796.01,94.99,20.4
1797.01,94.8,20.4
1798.01,93.28,20.4
1799.01,94.03,20.4
1800.01,94.72,20.4
1801.01,94.51,20.4
1802.01,94.54,20.4
1803.01,93.52,20.4
1804.01,93.44,20.4
1805.01,93.74,20.4
1806.01,93.4,20.6
1807.01,93.8,20.4
1808.01,94.15,20.6
1809.01,94.27,20.4
1810.01,93.79,20.4
1811.01,93.33,20.4
1812.01,94.39,20.4
1813.01,93.34,20.4
1814.01,93.23,20.4
1815.01,93.93,20.4
1816.01,93.87,20.4
1817.01,93.82,20.4
1818.01,92.67,20.4
1819.01,92.97,20.4
1820.01,95.79,20.4
1821.01,93.55,20.6
1822.01,94.56,20.4
1823.01,93.02,20.4
1824.01,93.35,20.4
1825.01,92.01,20.4
1826.01,93.28,20.6
1827.01,93.71,20.4
1828.01,93.35,20.4
1829.01,93.88,20.4
1830.01,94.97,20.4
1831.01,94.28,20.6
1832.01,94.81,20.4
1833.01,92.93,20.4
1834.01,93.03,20.4
1835.01,93.05,20.4
1836.01,94.34,20.4
1837.01,92.55,20.4
1838.01,94.21,20.4
1839.01,93.95,20.4
1840.01,93.4,20.4
1841.01,94.41,20.4
1842.01,94.89,20.4
1843.01,93.62,20.4
1844.01,94.38,20.4
1845.01,94.82,20.4
1846.01,92.75,20.4
1847.01,93.42,20.4
1848.01,93.96,20.4
1849.01,93.14,20.4
1850.01,93.2,20.4
1851.01,93.15,20.4
1852.01,92.75,20.4
1853.01,92.91,20.4
1854.01,93.16,20.4
1855.01,94.73,20.4
1856.01,92.99,20.4
1857.01,93.5,20.4
1858.01,92.35,20.4
1859.01,93.16,20.4
1860.01,93.72,20.4
1861.01,93.18,20.4
1862.01,93.28,20.4
1863.01,93.46,20.4
1864.01,93.68,20.4
1865.01,92.61,20.4
1866.01,92.64,20.4
1867.01,93.74,20.4
1868.01,92.89,20.4
1869.01,92.33,20.4
1870.01,92.96,20.4
1871.01,93.55,20.4
1872.01,92.69,20.4
1873.01,91.97,20.4
1874.01,94.47,20.4
1875.01,93.08,20.4
1876.01,95.25,20.4
1877.01,93.11,20.4
1878.01,93.51,20.4
1879.01,93.11,20.4
1880.01,94.32,20.4
1881.01,92.46,20.4
1882.01,93.21,20.4
1883.01,93.4,20.4
1884.01,92.6,20.4
1885.01,94.36,20.4
1886.01,92.1,20.4
1887.01,93.73,20.4
1888.01,93.03,20.4
1889.01,93.21,20.4
1890.01,92.41,20.4
1891.01,93.55,20.4
1892.01,92.89,20.4
1893.01,94.48,20.2
1894.01,93.94,20.4
1895.01,92.7,20.4
1896.01,93.48,20.4
1897.01,93.8,20.4
1898.01,92.24,20.4
1899.01,93.96,20.4
1900.01,91.41,20.4
1901.01,91.28,21.6
1902.01,92.1,21.6
1903.01,94.03,21.6
1904.01,93.74,21.6
1905.01,93.75,21.6
1906.01,93.62,21.6
1907.01,93.49,21.6
1908.01,93.36,21.6
1909.01,93.95,21.6
1910.01,94.15,21.6
1911.01,93.92,21.4
1912.01,92.45,21.6
1913.01,93.27,21.6
1914.01,92.89,21.6
1915.01,93.3,21.6
1916.01,93.19,21.6
1917.01,94.59,21.6
1918.01,95.28,21.4
1919.01,91.82,21.6
1920.01,93.31,21.4
1921.01,93.67,21.6
1922.01,92.64,21.4
1923.01,91.72,21.4
1924.01,93.28,21.6
1925.01,92.46,21.4
1926.01,94.73,21.4
1927.01,93.8,21.4
1928.01,92.99,21.4
1929.01,92.89,21.4
1930.01,93.34,21.4
1931.01,93.44,21.6
1932.01,92.06,21.6
1933.01,92.22,21.4
1934.01,92.5,21.4
1935.01,94.44,21.4
1936.01,93.21,21.4
1937.01,94.63,21.4
1938.01,94.1,21.4
1939.01,92.89,21.4
1940.01,93.41,21.4
1941.01,92.61,21.4
1942.01,93.84,21.4
1943.01,94.12,21.4
1944.01,92.73,21.4
1945.01,93.11,21.4
1946.01,93.46,21.4
1947.01,93.02,21.4
1948.01,92.33,21.4
1949.01,92.8,21.4
1950.01,93.22,21.4
1951.01,92.5,21.4
1952.01,93.58,21.2
1953.01,92.3,21.4
1954.01,93.24,21.4
1955.01,93.36,21.2
1956.01,92.91,21.2
1957.01,92.64,21.4
1958.01,93.21,21.4
1959.01,93.55,21.4
1960.01,93.25,21.4
1961.01,93.28,21.4
1962.01,92.56,21.4
1963.01,93.22,21.4
1964.01,92.31,21.4
1965.01,93.66,21.4
1966.01,94.15,21.4
1967.01,93.6,21.2
1968.01,95.52,21.2
1969.01,92.54,21.2
1970.01,92.38,21.2
1971.01,92.81,21.4
1972.01,92.75,21.2
1973.01,94.85,21.2
1974.01,91.76,21.2
1975.01,92,21.4
1976.01,92.6,21.4
1977.01,92.73,21.2
1978.01,94.18,21.2
1979.01,93.19,21.4
1980.01,91.85,21.2
1981.01,92.51,21.2
1982.01,93.08,21.2
1983.01,92.93,21.2
1984.01,91.87,21.2
1985.01,92.83,21.2
1986.01,93.59,21.4
1987.01,93.47,21.2
1988.01,94.25,21.4
1989.01,93.41,21.2
1990.01,93.4,21.2
1991.01,93.05,21.2
1992.01,93.92,21.2
1993.01,93.45,21.2
1994.01,93.55,21.2
1995.01,91.89,21.2
1996.01,91.15,21.4
1997.01,93.07,21.2
1998.01,92.9,21.2
1999.01,92.85,21.2
2000.01,92.3,21
2001.01,93.75,21.2
2002.01,92.69,21.2
2003.01,91.2,21.2
2004.01,92.32,21.2
2005.01,93.4,21.2
2006.01,92.34,21.2
2007.01,93.99,21.2
2008.01,93.23,21.2
2009.01,94.4,21.2
2010.01,94.11,21.2
2011.01,91.45,21.2
2012.01,91.77,21.2
2013.01,93.36,21
2014.01,92.36,21
2015.01,92.11,21.2
2016.01,94.14,21
2017.01,93.97,21.2
2018.01,93.78,21.2
2019.01,91.99,21.2
2020.01,93.09,21
2021.01,92.35,21.2
2022.01,91.23,21.2
2023.01,92.68,21.2
2024.01,92.12,21.2
2025.01,93.02,21.2
2026.01,91.84,21.2
2027.01,91.15,21.2
2028.01,91.3,21.2
2029.01,93.21,21.2
2030.01,93.25,21
2031.01,92.87,21.2
2032.01,92.84,21
2033.01,93.32,21
2034.01,92.17,21
2035.01,94.37,21.2
2036.01,91.73,21
2037.01,94.18,21
2038.01,92.1,21
2039.01,94.39,21
2040.01,93.49,21
2041.01,93.62,21
2042.01,92.26,21
2043.01,93.41,21
2044.01,92.39,21
2045.01,92.42,21
2046.01,92.99,21
2047.01,94.74,21
2048.01,92.81,21
2049.01,92.78,21.2
2050.01,91.62,21
2051.01,93.15,21
2052.01,93.72,21
2053.01,92.93,21
2054.01,90.46,21
2055.01,92.83,21
2056.01,92.11,21
2057.01,92.98,21
2058.01,93.14,21
2059.01,92.46,21
2060.01,91.16,21
2061.01,92.99,21
2062.01,94.4,21
2063.01,92.26,21
2064.01,94.15,21
2065.01,93.53,21
2066.01,91.47,21
2067.01,93.52,21
2068.01,93.11,21
2069.01,92.53,21
2070.01,93.13,21
2071.01,91.23,21
2072.01,94.09,21
2073.01,93.78,21
2074.01,93.02,21
2075.01,94.05,21
2076.01,92.15,21
2077.01,91.61,21
2078.01,94.03,21
2079.01,93.31,21
2080.01,93.46,21
2081.01,94.34,20.8
2082.01,95.59,21
2083.01,92.78,21
2084.01,93.27,21
2085.01,91,21
2086.01,93.92,21
2087.01,90.9,21
2088.01,93.59,21
2089.01,92.3,21
2090.01,92.43,21
2091.01,90.96,21
2092.01,93.3,21
2093.01,93.26,21
2094.01,93,20.8
2095.01,91.78,21
2096.01,92.22,21
2097.01,92.93,21
2098.01,93.29,21
2099.01,91.24,21
2100.01,93.43,20.8
2101.01,93.11,21
2102.01,93.59,20.8
2103.01,91.85,21
2104.01,94.34,21
2105.01,93.22,21
2106.01,92.6,21
2107.01,92.7,21
2108.01,93.74,21
2109.01,94.02,21
2110.01,91.85,21
2111.01,93.28,20.8
2112.01,92.97,21
2113.01,91.91,21
2114.01,92.94,21
2115.01,94.96,21
2116.01,94.27,20.8
2117.01,94.08,21
2118.01,92.97,20.8
2119.01,93.25,20.8
2120.01,93.68,21
2121.01,93.29,21
2122.01,92.71,20.8
2123.01,92.26,21
2124.01,93.16,21
2125.01,92.04,21
2126.01,91.36,20.8
2127.01,92.59,21
2128.01,93.23,21
2129.01,92.6,20.8
2130.01,92.51,21
2131.01,90.62,20.8
2132.01,93.54,21
2133.01,92.75,20.8
2134.01,93.64,20.8
2135.01,92.21,21
2136.01,94.18,21
2137.01,90.65,21
2138.01,94.5,20.8
2139.01,92.73,21
2140.01,90.23,21
2141.01,92.87,20.8
2142.01,93.63,21
2143.01,94.42,20.8
2144.01,95.21,20.8
2145.01,92.93,20.8
2146.01,93,20.8
2147.01,90.77,20.8
2148.01,91.48,20.8
2149.01,92.38,20.8
2150.01,90.82,20.8
2151.01,92.55,21
2152.01,92.41,21
2153.01,94.02,20.8
2154.01,91.46,20.8
2155.01,91.49,21
2156.01,91.65,21
2157.01,92.21,20.8
2158.01,92.62,21
2159.01,92.81,20.8
2160.01,92.87,20.8
2161.01,91.9,20.8
2162.01,91.94,20.8
2163.01,91.86,20.8
2164.01,92.67,20.8
2165.01,91.2,20.8
2166.01,94.44,20.8
2167.01,93.2,20.8
2168.01,92.51,20.8
2169.01,92.9,20.8
2170.01,90.52,20.8
2171.01,94.35,21
2172.01,92.76,20.8
2173.01,93.72,21
2174.01,92.01,21
2175.01,93.3,20.8
2176.01,92.27,20.8
2177.01,92.73,20.8
2178.01,93.17,20.8
2179.01,93.19,20.8
2180.01,91.99,20.8
2181.01,92.25,21
2182.01,92.84,20.8
2183.01,91.25,20.8
2184.01,92.22,20.8
2185.01,92.86,20.8
2186.01,91.01,20.8
2187.01,93.33,20.8
2188.01,93.58,20.8
2189.01,92.51,20.8
2190.01,92.79,20.8
2191.01,93.32,20.8
2192.01,92.99,20.8
2193.01,92.48,20.8
2194.01,93.42,20.8
2195.01,93.36,20.8
2196.01,92.63,20.8
2197.01,93.23,20.8
2198.01,94.95,20.8
2199.01,92.84,20.8
2200.01,93.62,20.8
2201.01,92.32,20.8
2202.01,93.23,20.8
2203.01,93.13,20.8
2204.01,92.59,20.8
2205.01,91.34,20.8
2206.01,93.47,20.8
2207.01,93.98,20.8
2208.01,93.61,20.8
2209.01,94.33,20.8
2210.01,93.15,20.8
2211.01,93.31,20.8
2212.01,92.4,20.8
2213.01,94.22,20.8
2214.01,93.25,20.8
2215.01,94.96,20.8
2216.01,92.67,20.8
2217.01,92.71,20.8
2218.01,92.68,20.8
2219.01,92.12,20.8
2220.01,94.17,20.8
2221.01,93.43,20.8
2222.01,92.75,20.8
2223.01,93.13,20.8
2224.01,92.13,20.8
2225.01,91.2,21
2226.01,93.41,20.8
2227.01,93.09,20.8
2228.01,91.16,20.8
2229.01,92.59,20.8
2230.01,94.12,20.8
2231.01,90.63,20.8
2232.01,92.52,20.8
2233.01,93.44,20.8
2234.01,92.26,20.8
2235.01,92.06,20.8
2236.01,92.65,20.8
2237.01,92.12,20.8
2238.01,93.45,20.8
2239.01,94.04,20.8
2240.01,92.12,20.8
2241.01,92.82,20.8
2242.01,94.53,20.8
2243.01,90.28,20.8
2244.01,90.92,20.8
2245.01,91,20.8
2246.01,93.04,20.8
2247.01,91.78,20.8
2248.01,90.85,20.8
2249.01,93.13,20.8
2250.01,93.59,20.8
2251.01,93.69,20.8
2252.01,93.6,20.8
2253.01,93.63,20.6
2254.01,91.83,20.6
2255.01,92.47,20.8
2256.01,93.15,20.8
2257.01,93.94,20.8
2258.01,92.62,20.8
2259.01,92.23,20.8
2260.01,93.16,20.8
2261.01,95.12,20.6
2262.01,93.26,20.8
2263.01,93.43,20.8
2264.01,93.53,20.8
2265.01,92.6,20.8
2266.01,94.96,20.8
2267.01,93.13,20.8
2268.01,93.39,20.8
2269.01,93.29,20.8
2270.01,93.25,20.8
2271.01,93.36,20.8
2272.01,94.65,20.8
2273.01,92.19,20.8
2274.01,91.89,20.8
2275.01,93.83,20.8
2276.01,93.53,20.8
2277.01,94.2,20.8
2278.01,93.33,20.8
